ImageNumber,ObjectNumber,AreaShape_Area,Location_Center_X,Location_Center_Y
1,239,167,1965.46706587,318.748502994
1,240,137,899.335766423,325.737226277
1,241,255,1398.28627451,324.011764706
1,242,208,52.0288461538,333.615384615
1,243,237,1769.6835443,330.510548523
1,244,191,677.130890052,333.230366492
1,245,223,544.834080717,335.470852018
1,246,137,1256.67153285,332.299270073
1,247,156,1327.75,333.775641026
1,248,139,4.0,342.107913669
1,249,172,1206.61627907,335.558139535
1,250,206,1088.59223301,341.067961165
1,251,238,1658.34453782,337.924369748
1,252,217,1841.63133641,339.824884793
1,253,84,449.738095238,342.547619048
1,254,255,855.494117647,342.537254902
1,255,174,1213.73563218,346.126436782
1,256,165,334.733333333,341.36969697
1,257,217,1967.01382488,347.700460829
1,258,138,546.68115942,347.405797101
1,259,180,783.583333333,349.661111111
1,260,321,584.336448598,344.286604361
1,261,111,231.225225225,347.891891892
1,262,173,28.9132947977,351.219653179
1,263,194,1379.69072165,357.541237113
1,264,196,1630.53571429,355.459183673
1,265,204,577.892156863,357.62254902
1,266,212,1332.13679245,356.113207547
1,267,183,1572.40983607,354.131147541
1,268,51,518.215686275,357.352941176
1,269,178,1170.5505618,361.837078652
1,270,141,169.04964539,355.070921986
1,271,225,1137.62666667,361.364444444
1,272,157,654.585987261,360.337579618
1,273,50,928.56,361.3
1,274,129,49.984496124,361.379844961
1,275,86,86.9651162791,365.139534884
1,276,202,1723.41089109,367.589108911
1,277,225,1211.62222222,364.377777778
1,278,398,1420.27889447,363.592964824
1,279,168,959.398809524,369.958333333
1,280,220,1803.80909091,366.059090909
1,281,214,342.962616822,370.322429907
1,282,211,1238.74407583,376.710900474
1,283,475,302.545263158,375.581052632
1,284,206,811.922330097,374.174757282
1,285,187,446.770053476,382.288770053
1,286,210,1271.62857143,382.895238095
1,287,344,216.816860465,378.558139535
1,288,208,971.817307692,380.716346154
1,289,46,1328.2173913,383.304347826
1,290,245,1841.26530612,387.971428571
1,291,126,279.658730159,384.277777778
1,292,90,1750.24444444,388.666666667
1,293,207,1968.82125604,390.357487923
1,294,223,400.089686099,387.847533632
1,295,162,823.549382716,393.191358025
1,296,228,1666.25,389.188596491
1,297,219,771.155251142,394.593607306
1,298,207,1629.31884058,390.855072464
1,299,52,580.057692308,393.192307692
1,300,210,679.99047619,394.366666667
1,301,226,354.123893805,396.615044248
1,302,313,1201.95527157,389.75399361
1,303,580,1163.00344828,393.5
1,304,453,506.013245033,398.238410596
1,305,221,1862.36199095,401.665158371
1,306,266,1262.88345865,401.966165414
1,307,190,77.1052631579,401.063157895
1,308,95,1004.07368421,404.178947368
1,309,207,1641.99516908,404.217391304
1,310,39,295.615384615,406.794871795
1,311,107,159.523364486,407.981308411
1,312,204,1314.39215686,408.137254902
1,313,111,606.981981982,408.396396396
1,314,151,1353.54304636,405.503311258
1,315,245,279.481632653,410.093877551
1,316,279,436.842293907,410.308243728
1,317,109,38.6330275229,410.256880734
1,318,152,1449.77631579,410.171052632
1,319,111,190.459459459,413.990990991
1,320,51,369.568627451,413.647058824
1,321,209,1394.37799043,410.186602871
1,322,235,1418.50212766,409.621276596
1,323,103,1941.3592233,414.019417476
1,324,62,888.290322581,418.370967742
1,325,183,955.825136612,419.278688525
1,326,204,1310.54411765,422.911764706
1,327,193,1197.69948187,426.025906736
1,328,258,1057.1744186,425.968992248
1,329,246,475.073170732,433.174796748
1,330,176,549.011363636,428.977272727
1,331,139,995.618705036,431.244604317
1,332,217,1652.71428571,430.055299539
1,333,144,745.319444444,433.347222222
1,334,293,1938.51194539,434.399317406
1,335,217,99.5115207373,436.875576037
1,336,96,118.802083333,444.552083333
1,337,154,1947.43506494,440.590909091
1,338,246,495.495934959,445.703252033
1,339,122,172.221311475,444.729508197
1,340,237,791.312236287,439.827004219
1,341,196,604.096938776,446.673469388
1,342,52,307.653846154,443.076923077
1,343,76,40.9605263158,451.921052632
1,344,184,832.77173913,451.190217391
1,345,232,1649.51293103,449.090517241
1,346,40,155.925,457.6
1,347,142,921.549295775,457.746478873
1,348,214,805.654205607,463.528037383
1,349,199,24.1909547739,467.447236181
1,350,221,1701.2081448,462.615384615
1,351,218,1832.29357798,468.568807339
1,352,72,878.027777778,469.513888889
1,353,54,727.777777778,474.222222222
1,354,240,819.6,471.670833333
1,355,195,340.420512821,477.343589744
1,356,244,276.704918033,478.991803279
1,357,207,579.371980676,476.483091787
1,358,96,917.71875,477.885416667
1,359,130,293.153846154,480.269230769
1,360,197,910.482233503,489.61928934
1,361,437,1027.28832952,492.23798627
1,362,211,186.616113744,491.398104265
1,363,383,13.0182767624,496.281984334
1,364,225,1567.89333333,496.751111111
1,365,363,466.011019284,494.859504132
1,366,264,251.242424242,499.151515152
1,367,215,1863.82325581,499.855813953
1,368,190,888.547368421,502.294736842
1,369,79,214.329113924,504.911392405
1,370,486,1698.90123457,498.21399177
1,371,164,223.18902439,509.798780488
1,372,139,1189.78417266,511.014388489
1,373,265,269.698113208,516.886792453
1,374,207,1156.19806763,516.043478261
1,375,172,1352.03488372,515.302325581
1,376,198,82.2929292929,517.676767677
1,377,91,1229.67032967,519.373626374
1,378,119,254.521008403,521.25210084
1,379,95,1867.77894737,523.684210526
1,380,186,140.85483871,525.532258065
1,381,237,1207.05907173,521.552742616
1,382,189,518.396825397,527.645502646
1,383,208,1711.39903846,524.625
1,384,212,978.004716981,520.429245283
1,385,239,776.121338912,532.10041841
1,386,192,1413.578125,533.21875
1,387,641,1675.18720749,529.070202808
1,388,83,876.084337349,536.879518072
1,389,621,1092.17874396,539.684380032
1,390,247,452.028340081,539.740890688
1,391,202,762.059405941,538.891089109
1,392,396,346.388888889,547.643939394
1,393,167,1821.74251497,542.580838323
1,394,137,1370.58394161,544.459854015
1,395,114,1510.27192982,543.350877193
1,396,50,1490.68,544.8
1,397,256,1036.80859375,541.8125
1,398,189,1336.23809524,546.0
1,399,218,444.706422018,552.610091743
1,400,273,633.93040293,549.93040293
1,401,67,207.417910448,555.343283582
1,402,171,267.532163743,553.830409357
1,403,207,1131.98067633,557.183574879
1,404,197,1658.64467005,555.025380711
1,405,208,1395.39423077,554.850961538
1,406,200,370.49,556.455
1,407,246,907.369918699,563.032520325
1,408,80,1421.3625,561.5
1,409,78,859.974358974,565.192307692
1,410,255,631.623529412,569.592156863
1,411,54,1252.59259259,567.314814815
1,412,464,1956.78017241,570.849137931
1,413,176,37.0056818182,575.880681818
1,414,314,388.092356688,566.748407643
1,415,40,83.925,573.225
1,416,122,190.442622951,575.0
1,417,218,447.206422018,578.591743119
1,418,203,905.374384236,580.502463054
1,419,171,579.666666667,582.590643275
1,420,271,1163.66051661,585.974169742
1,421,224,1408.41071429,579.504464286
1,422,296,1269.72635135,587.800675676
1,423,133,794.45112782,585.248120301
1,424,223,164.914798206,586.838565022
1,425,212,111.91509434,596.929245283
1,426,220,148.018181818,592.109090909
1,427,610,511.88852459,600.631147541
1,428,217,206.944700461,600.373271889
1,429,160,993.8375,602.6375
1,430,235,1122.4893617,600.629787234
1,431,94,361.0,600.521276596
1,432,164,1733.42073171,602.798780488
1,433,209,1205.97129187,605.315789474
1,434,48,1092.375,610.5
1,435,166,478.138554217,606.427710843
1,436,132,1185.06818182,615.598484848
1,437,231,498.463203463,615.012987013
1,438,106,452.396226415,617.056603774
1,439,292,1116.71232877,616.428082192
1,440,201,1489.36318408,614.288557214
1,441,367,330.204359673,619.171662125
1,442,171,446.052631579,623.771929825
1,443,152,150.894736842,623.210526316
1,444,40,174.175,623.2
1,445,212,928.235849057,624.683962264
1,446,149,875.523489933,627.140939597
1,447,234,495.008547009,628.226495726
1,448,244,1094.79508197,624.62295082
1,449,156,518.006410256,631.0
1,450,214,782.570093458,627.64953271
1,451,245,358.204081633,636.779591837
1,452,224,24.5133928571,634.839285714
1,453,164,111.451219512,632.487804878
1,454,205,844.990243902,637.853658537
1,455,124,819.879032258,644.290322581
1,456,244,1379.43852459,643.18442623
1,457,192,233.994791667,647.505208333
1,458,245,907.175510204,646.432653061
1,459,159,857.27672956,645.572327044
1,460,197,1092.76649746,653.583756345
1,461,271,1617.7195572,649.044280443
1,462,163,952.865030675,652.834355828
1,463,43,1527.3255814,653.23255814
1,464,225,608.76,652.737777778
1,465,370,406.618918919,658.421621622
1,466,168,924.80952381,661.5
1,467,108,856.972222222,661.62037037
1,468,97,261.855670103,663.402061856
1,469,278,417.726618705,660.935251799
1,470,179,62.1955307263,666.843575419
1,471,124,713.653225806,662.717741935
1,472,236,951.644067797,665.656779661
1,473,292,154.321917808,667.393835616
1,474,254,231.937007874,666.614173228
1,475,105,1028.46666667,666.685714286
1,476,224,1588.58482143,671.129464286
1,477,191,1260.67015707,675.418848168
1,478,110,1088.73636364,682.154545455
1,479,148,670.689189189,679.344594595
1,480,225,145.253333333,680.048888889
1,481,74,1479.66216216,683.0
1,482,222,99.6081081081,683.121621622
1,483,187,528.625668449,691.417112299
1,484,155,907.761290323,687.322580645
1,485,73,1178.39726027,690.02739726
1,486,56,478.75,694.660714286
1,487,112,834.589285714,692.991071429
1,488,230,1079.86956522,700.669565217
1,489,86,517.988372093,694.674418605
1,490,232,437.426724138,693.362068966
1,491,151,316.17218543,701.284768212
1,492,288,712.128472222,703.034722222
1,493,179,49.9944134078,702.396648045
1,494,191,829.790575916,703.235602094
1,495,114,1723.69298246,703.01754386
1,496,233,902.965665236,707.334763948
1,497,262,1918.53816794,710.675572519
1,498,248,1230.29032258,711.842741935
1,499,211,374.066350711,717.056872038
1,500,114,463.333333333,714.938596491
1,501,124,205.5,715.443548387
1,502,99,711.666666667,716.212121212
1,503,222,649.815315315,721.396396396
1,504,294,1944.97278912,715.744897959
