ImageNumber,ObjectNumber,AreaShape_Area,Location_Center_X,Location_Center_Y
1,92,1694,1426.57142857,126.826446281
1,93,1212,320.497524752,115.75990099
1,94,1349,708.530022239,119.198665678
1,95,1980,785.992424242,121.355050505
1,96,1575,953.436825397,130.46031746
1,97,1987,617.761952693,123.15953699
1,98,1735,658.820172911,124.530835735
1,99,1114,1147.21454219,135.771095153
1,100,1361,472.730345334,137.447465099
1,101,1432,125.943435754,131.530726257
1,102,1196,332.289297659,146.408026756
1,103,2022,741.40751731,134.234915925
1,104,1695,1056.41474926,134.939233038
1,105,2215,1592.41354402,137.413544018
1,106,1589,1713.99811202,133.128382631
1,107,2027,1686.95461273,146.813024174
1,108,1637,159.653634698,145.971288943
1,109,1389,208.929445644,142.433405328
1,110,2486,385.07079646,152.183829445
1,111,899,697.876529477,145.991101224
1,112,1417,1647.55187015,142.875793931
1,113,1227,300.72208639,150.238793806
1,114,1832,1250.09989083,148.056768559
1,115,3085,544.013290113,152.039222042
1,116,830,1185.12048193,149.126506024
1,117,1840,1298.62336957,147.238043478
1,118,2668,1012.92578711,150.208395802
1,119,1709,812.184903452,156.930368637
1,120,2146,876.193383038,154.287045666
1,121,1608,496.84141791,158.388059701
1,122,2161,606.724664507,163.137899121
1,123,961,670.943808533,158.514047867
1,124,1552,1162.03028351,168.344072165
1,125,2021,1391.40376051,159.684314696
1,126,1840,117.40326087,165.329347826
1,127,1843,1621.8562127,168.74064026
1,128,1462,771.122435021,164.011627907
1,129,2279,1811.29618254,168.255813953
1,130,1200,1061.77333333,165.113333333
1,131,2285,192.322538293,176.96892779
1,132,1670,1361.21197605,177.925149701
1,133,1651,700.898849182,183.937613568
1,134,1753,983.0,176.712492869
1,135,1914,1104.63427377,175.096656217
1,136,1142,1209.0971979,171.662872154
1,137,1638,285.322954823,179.982295482
1,138,1197,945.258980785,173.466165414
1,139,560,665.992857143,181.655357143
1,140,1713,735.898423818,186.323409224
1,141,1308,1287.95948012,193.977828746
1,142,1036,1317.51158301,180.77027027
1,143,1421,87.5460942998,182.275862069
1,144,1072,1265.14272388,183.048507463
1,145,1790,788.440782123,195.756424581
1,146,1683,244.871063577,189.314319667
1,147,637,472.817896389,184.527472527
1,148,1037,1062.69431051,191.368370299
1,149,1570,1210.31910828,199.123566879
1,150,2110,1662.66540284,189.397630332
1,151,2346,1960.02429668,191.472719523
1,152,1552,902.699742268,185.588273196
1,153,2380,1767.68781513,196.71512605
1,154,448,80.0870535714,203.776785714
1,155,1336,416.111526946,187.181137725
1,156,668,929.193113772,199.182634731
1,157,1612,498.828784119,200.424317618
1,158,2400,1862.21041667,197.854583333
1,159,793,1086.79445145,205.793190416
1,160,1636,55.1656479218,199.718826406
1,161,828,429.945652174,205.869565217
1,162,2044,313.451076321,202.571428571
1,163,1022,456.654598826,198.773972603
1,164,2156,374.466141002,202.051020408
1,165,1227,953.664221679,212.04808476
1,166,956,580.706066946,204.076359833
1,167,439,510.685649203,214.681093394
1,168,1558,549.862002567,210.460205392
1,169,1691,1016.41277351,209.959787108
1,170,1551,1239.53578337,214.577047066
1,171,425,928.451764706,224.835294118
1,172,1056,448.426136364,227.579545455
