Metadata_position,Tile_xPos,Tile_yPos,Hyb_step,Image_FileName_Nuclei,Image_FileName_Spec_blob,Image_FileName_T,Image_FileName_G,Image_FileName_C,Image_FileName_A,Image_FileName_General_Nuclei,Image_FileName_General_blob
1,0,0,1,b1_c1.tif,b1_c2.tif,b1_c3.tif,b1_c4.tif,b1_c5.tif,b1_c6.tif,b1_c1.tif,b1_c2.tif
1,0,0,2,b2_c1.tif,b2_c2.tif,b2_c3.tif,b2_c4.tif,b2_c5.tif,b2_c6.tif,b1_c1.tif,b1_c2.tif
1,0,0,3,b3_c1.tif,b3_c2.tif,b3_c3.tif,b3_c4.tif,b3_c5.tif,b3_c6.tif,b1_c1.tif,b1_c2.tif
1,0,0,4,b4_c1.tif,b4_c2.tif,b4_c3.tif,b4_c4.tif,b4_c5.tif,b4_c6.tif,b1_c1.tif,b1_c2.tif
